hr,name,ra_degrees,dec_degrees,Vmag
127,2TucCP-63   50,7.89,-62.965833333333336,4.54
128,BD+42   99,8.111666666666666,43.49472222222222,6.70
129,BD+70   24,8.330416666666666,70.98166666666667,6.42
130,CasBD+62  102,8.25,62.931666666666665,4.16
131,PscBD+19   79,8.147916666666665,20.294444444444448,5.38
132,PscBD+06   64,8.099166666666665,6.955555555555556,5.67
133,BD+26   76,8.143749999999999,27.580555555555556,6.67
134,BD+27   84,8.204583333333332,28.280277777777776,6.30
135,BD+54  101,8.293333333333333,54.894999999999996,5.93
136,3TucCP-63   52,8.1825,-63.03111111111111,5.09
137,CasBD+65   70,8.60375,66.75027777777778,6.48
138,CD-30  156,8.421249999999999,-29.558333333333334,5.55
139,TucCP-71   20,8.347083333333332,-71.26611111111112,6.13
140,CP-53  117,8.615833333333331,-52.37305555555555,5.57
141,BD+12   57,8.730416666666667,13.371111111111112,6.40
142,CetBD-04   62,8.812083333333334,-3.592777777777778,5.20
143,CetBD-01   68,8.886666666666665,-0.5055555555555555,5.93
144,BD+53  102,9.034583333333332,54.16861111111111,5.08
145,BD+12   59,8.977916666666665,13.206666666666665,6.41
146,BD+59   84,9.11375,60.32611111111112,5.79
147,2PheCD-48  121,8.921249999999999,-48.00083333333333,5.51
148,CP-55  117,8.889166666666666,-54.82194444444445,6.06
149,BD+26   91,9.083333333333332,27.254722222222224,6.50
150,BD-15  109,9.0125,-14.973611111111111,6.45
151,CD-23  220,9.028749999999999,-22.842499999999998,6.06
152,BD+43  113,9.194166666666664,44.48861111111111,5.13
153,CasBD+53  105,9.242916666666664,53.89694444444444,3.66
154,AndBD+32  101,9.220416666666665,33.71944444444445,4.36
155,PscBD+14   76,9.197083333333332,15.231666666666667,5.89
156,BD+23   84,9.28,24.014166666666668,6.47
157,BD+34   86,9.337916666666667,35.39944444444444,5.48
158,BD+81   13,9.947083333333333,82.49388888888889,6.40
159,CD-25  225,9.33625,-24.76722222222222,5.57
160,CP-65   58,9.155833333333332,-65.12472222222222,6.42
161,BD+02   80,9.377083333333333,3.1352777777777776,6.39
162,CP-55  130,9.325416666666666,-54.39416666666666,6.41
163,AndBD+28  103,9.638749999999998,29.311666666666667,4.37
164,BD+48  192,9.79125,49.35444444444445,5.43
165,AndBD+30   91,9.832083333333332,30.860833333333336,3.27
166,PscBD+20   85,9.840833333333332,21.250555555555554,5.87
167,PscBD+20   87,9.981666666666666,21.438333333333333,5.36
168,CasBD+55  139,10.127083333333331,56.53722222222222,2.23
169,CP-73   42,9.669999999999998,-73.13722222222223,6.85
170,CD-34  224,9.991249999999999,-33.961666666666666,6.69
171,CD-45  201,9.966666666666667,-44.79666666666667,6.01
172,BD-17  109,10.119166666666665,-16.516944444444444,6.49
173,CD-24  263,10.137083333333331,-23.804444444444446,6.14
174,BD-05  101,10.176666666666664,-4.351944444444444,5.91
175,AndBD+38   90,10.28,39.45861111111111,5.33
176,CP-60   46,10.109999999999998,-59.45444444444445,5.89
177,BD+65   83,10.514166666666664,66.14750000000001,5.83
178,BD+23   94,10.399999999999999,24.629166666666666,6.04
179,CasBD+49  164,10.516249999999998,50.5125,4.80
180,PheCD-46  180,10.331666666666665,-46.085,4.59
181,BD+57  132,10.629583333333331,58.75333333333333,6.17
182,And,0.0,0.0,
183,PheCP-57  143,10.443333333333332,-56.501666666666665,5.70
184,CasBD+46  146,10.867083333333332,47.02472222222222,4.94
185,1SclCD-39  175,10.678749999999999,-38.46333333333334,6.06
186,CP-60   48,10.674166666666665,-60.2625,5.98
187,TucCP-66   47,10.61833333333333,-65.46805555555555,5.39
188,CetBD-18  115,10.897499999999999,-17.986666666666668,2.04
189,BD+47  181,11.109999999999998,47.86416666666667,5.67
190,BD-12  126,10.959166666666665,-12.011666666666667,6.02
191,PheCP-58   42,10.838333333333333,-57.463055555555556,4.36
192,CasBD+74   27,11.4125,74.98805555555556,5.66
193,CasBD+47  183,11.181249999999999,48.28444444444444,4.54
194,1CetBD-11  128,11.047499999999998,-10.609444444444444,4.76
195,2SclCD-39  181,11.050416666666665,-38.42166666666667,5.90
196,BD+54  143,11.321666666666665,55.22166666666667,5.42
197,BD-22  127,11.184999999999997,-22.00611111111111,5.24
198,CD-43  207,11.237916666666665,-42.67666666666666,5.94
